,Villawood Immigration Detention Centre,,,Sydney Immigration Restidential Housing,,,,
Date,Men,Women,Total Villawood IDC,Men,Women,Children,Total Sydney IRH,Combined Total
28-Feb-13,338,46,384,7,10,10,27,411
31-Jan-13,340,40,380,8,10,10,28,408
31-Dec-12,302,48,350,8,9,12,29,379
31-Oct-12,297,44,341,12,8,6,26,367
30-Sep-12,330,44,374,11,8,6,25,399
31-Aug-12,337,42,379,10,7,5,22,401
31-Jul-12,279,33,312,10,5,4,19,331
30-Jun-12,260,33,293,11,5,4,20,313
31-May-12,237,41,278,15,7,6,28,306
30-Apr-12,277,37,314,14,4,4,22,336
31-Mar-12,291,44,335,14,6,5,25,360
29-Feb-12,292,52,344,13,8,7,28,372
31-Jan-12,311,64,375,11,6,6,23,398
31-Dec-11,312,52,364,12,10,15,37,401
30-Nov-11,303,58,361,11,4,7,22,383
31-Oct-11,310,62,372,9,3,5,17,389
30-Sep-11,355,52,407,4,3,5,12,419
31-Aug-11,316,46,362,4,4,8,16,378
31-Jul-11,304,45,349,4,5,6,15,364
20-May-11,307,23,330,8,8,9,25,355
13-May-11,307,23,330,8,8,9,25,355
6-May-11,327,24,351,8,8,8,24,375
15-Apr-11,361,31,392,7,7,6,20,412
11-Mar-11,332,26,358,14,9,10,33,391
18-Feb-11,358,23,381,10,7,7,24,405
4-Feb-11,314,25,339,11,8,9,28,367
21-Jan-11,296,21,317,13,8,13,34,351
14-Jan-11,300,23,323,13,8,13,34,357
17-Dec-10,300,24,324,13,8,15,36,360
3-Dec-10,290,18,308,13,8,13,34,342
19-Nov-10,286,22,308,13,8,13,34,342
5-Nov-10,293,19,312,13,9,13,35,347
29-Oct-10,302,24,326,14,9,14,37,363
22-Oct-10,313,22,335,14,9,15,38,373
15-Oct-10,300,23,323,14,8,14,36,359
8-Oct-10,292,24,316,15,8,16,39,355
30-Sep-10,287,22,309,15,8,16,39,348
10-Sep-10,278,24,302,13,7,10,30,332
27-Aug-10,267,25,292,12,7,10,29,321
13-Aug-10,255,17,272,12,8,10,30,302
30-Jul-10,259,12,271,10,7,9,26,297
30-Jun-10,259,12,271,10,7,9,26,297
25-Jun-10,218,16,234,17,8,11,36,270
18-Jun-10,220,13,233,18,8,11,37,270
4-Jun-10,237,18,255,16,5,7,28,283
28-Apr-10,246,20,266,15,4,6,25,291
21-May-10,245,20,265,15,4,6,25,290
14-May-10,242,22,264,15,4,6,25,289
7-May-10,238,22,260,15,3,5,23,283
23-Apr-10,244,22,266,14,3,5,22,288
16-Apr-10,246,21,267,14,2,4,20,287
2-Apr-10,213,20,233,14,2,2,18,251
26-Mar-10,118,17,135,15,2,2,19,154
12-Mar-10,113,19,132,15,3,2,20,152
5-Mar-10,122,23,145,16,5,2,23,168
26-Feb-10,140,31,171,17,5,2,24,195
19-Feb-10,143,29,172,18,5,2,25,197
29-Jan-10,131,9,140,17,6,3,26,166
8-Jan-10,121,16,137,14,3,1,18,155
1-Jan-10,118,16,134,13,3,1,17,151
